Categoria,Concepto,Descripcion,Tipo_Costo,Monto_USD,Periodicidad,Volumen_Aplicable,Notas
CAMPOS_EXTRAIDOS,Post_URL,URL del reel extraido,Dato,Incluido,Siempre,Todos los volumenes,Link directo al contenido
CAMPOS_EXTRAIDOS,Creator_Info,Informacion completa del creador,Dato,Incluido,Siempre,Todos los volumenes,Nickname - username - profile URL
CAMPOS_EXTRAIDOS,Publish_Data,Fecha y hora de publicacion,Dato,Incluido,Siempre,Todos los volumenes,Timestamp completo de publicacion
CAMPOS_EXTRAIDOS,Engagement_Metrics,Metricas de engagement completas,Dato,Incluido,Siempre,Todos los volumenes,Likes - shares - views - comments count
CAMPOS_EXTRAIDOS,Description_Caption,Descripcion y caption completo,Dato,Incluido,Siempre,Todos los volumenes,Texto completo con hashtags y menciones
CAMPOS_EXTRAIDOS,Comments_Level_1,Comentarios de primer nivel,Dato,Incluido,Siempre,Todos los volumenes,Comentarios principales del post
CAMPOS_EXTRAIDOS,Comments_Level_2,Respuestas a comentarios,Dato,Incluido,Siempre,Todos los volumenes,Hilos de conversacion completos
CAMPOS_EXTRAIDOS,User_Comments_Info,Informacion de usuarios comentaristas,Dato,Incluido,Siempre,Todos los volumenes,Profile - followers - verification status
CAMPOS_EXTRAIDOS,Comment_Engagement,Engagement de comentarios individuales,Dato,Incluido,Siempre,Todos los volumenes,Likes por comentario y replies count
CAMPOS_EXTRAIDOS,Media_Metadata,Metadatos del contenido multimedia,Dato,Incluido,Siempre,Todos los volumenes,Duracion - thumbnail - calidad
TIEMPO_DESARROLLO,MVP_Funcional,Minimo producto viable funcional,Semanas,4-5,Una vez,Todos los volumenes,Version basica operativa
TIEMPO_DESARROLLO,Version_Completa,Version completa con todas las funcionalidades,Semanas,6-7,Una vez,Todos los volumenes,Sistema completo y optimizado
TIEMPO_DESARROLLO,Testing_Deploy,Testing final y deployment,Semanas,2,Una vez,Todos los volumenes,QA completo y puesta en produccion
TIEMPO_DESARROLLO,TOTAL_DESARROLLO,Tiempo total de desarrollo,Semanas,8-9,Una vez,Todos los volumenes,Desde inicio hasta produccion completa
